	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
capitaine	0.026360612362623215	0.0	0.0	0.0	0.0	0.0	0.0	0.016205232590436935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chef	0.01677120290696621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
homme	0.01279135886579752	0.0036686048842966557	0.01208167988806963	0.003978929482400417	0.0	0.012806028127670288	0.01688969135284424	0.003263510065153241	0.0075971283949911594	0.004981481935828924	0.005653837230056524	0.0	0.0	0.006286656949669123	0.004940178245306015	0.0047209737822413445	0.021019233390688896	0.004503218922764063	0.0029378607869148254	0.0	0.007146946154534817	0.00905225332826376	0.0	0.003417395520955324	0.0	0.006430697627365589	0.0	0.005063014570623636	0.0	0.004127421882003546	0.014319650828838348	0.009218249469995499	0.0	0.009622639045119286	0.0	0.0036665203515440226	0.0	0.00727559719234705	0.008407148532569408	0.003196465317159891
général	0.011549706570804119	0.0	0.0	0.0	0.0023079048842191696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057858191430568695
hommes	0.011302893981337547	0.0	0.0	0.0	0.0	0.0	0.0025754612870514393	0.004671958275139332	0.0	0.008130010217428207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00295815197750926	0.0	0.0	0.0029857675544917583	0.0	0.0	0.0	0.003777662990614772	0.0	0.014859950169920921	0.0	0.0033164152409881353	0.0036568867508322	0.0	0.004568497184664011	0.0	0.0	0.0026626442559063435	0.0	0.0	0.004047366790473461	0.004202748648822308	0.0
chasseur	0.010223685763776302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003935372922569513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
officier	0.008731941692531109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dit-il	0.008312424644827843	0.0	0.0	0.003350001061335206	0.0	0.0031826146878302097	0.004948398098349571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01741279661655426	0.0	0.0	0.006647446658462286	0.0	0.0	0.0	0.0	0.0	0.00386245409026742	0.0	0.0	0.0	0.0	0.009322124533355236	0.0	0.0	0.0	0.0	0.0	0.0	0.002547833137214184	0.0	0.0
don	0.007348229177296162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
comte	0.0070318677462637424	0.0	0.004185688216239214	0.0	0.0	0.0	0.0032315764110535383	0.0	0.002488334197551012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002551753306761384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004577375948429108	0.0	0.0	0.0	0.0
