	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
0	capitaine	fois	homme	porte	duc	monsieur	m.	docteur	madame	femmes	confetti	oncle	millions	duc	forêt	mère	m.	vie	colonel	galerie	tu	rue	abbé	madame	pays	m.	hommes	yeux	bras	théâtre	fille	homme	mme	yeux	ingénieur	femme	ailes	yeux	homme	docteur
1	chef	tête	vieille	temps	roi	francs	homme	capitaine	m.	hommes	citoyen	air	fois	duchesse	arbres	yeux	lettre	amour	jour	ours	père	porte	curé	pharmacien	mer	mme	soldats	sol	yeux	nom	père	maître	mère	homme	air	voix	yeux	collège	vie	médecin
2	homme	mort	moujik	yeux	moines	madame	monsieur	mer	marquis	esclaves	candidat	mauser	pierre	cavalier	cousin	enfant	baron	cœur	temps	bouton	tante	maison	prêtre	apothicaire	soleil	chambre	cheval	eau	tête	talent	voix	bras	fille	temps	idée	yeux	vis	air	temps	animaux
3	général	temps	maître	nuit	monde	mille	père	navire	femme	enfants	bateau	tête	ruines	comtesse	eau	vie	homme	yeux	tête	maison	est-ce	heures	évêque	m.	église	madame	gens	lumière	soleil	lieu	yeux	air	femme	mule	milliardaire	ville	fois	clefs	amour	heures
4	hommes	loup	intendant	maison	nom	homme	juge	équipage	homme	jour	princesse	coup	jours	femme	rivière	fois	dit-il	fois	mme	renard	temps	voiture	air	fois	terre	homme	route	terre	femmes	maître	homme	feu	père	argent	eau	coup	sorte	homme	air	chasseurs
5	chasseur	moment	foule	tête	baronne	ans	police	vent	amour	cousin	fois	pieds	argent	m.	route	père	maître	esprit	lettres	dit-il	mère	hôtel	voix	yeux	air	fois	commandant	coup	air	dîner	baron	bois	enfant	tête	temps	foule	idée	coup	chose	fois
6	officier	bras	tête	chambre	sang	notaire	nom	bord	prince	homme	homme	choses	couvent	fille	plaine	chambre	vicomte	chose	vache	poudre	fils	homme	chose	pharmacie	temps	air	guerre	air	fleurs	monde	femme	chose	m.	air	dollars	comte	doute	étude	gens	général
7	dit-il	fond	yeux	main	jour	fortune	moment	glace	esprit	yeux	citoyens	temps	étangs	monde	bois	tête	père	âme	table	temps	fois	escalier	est-ce	est-ce	jour	comtesse	village	homme	milieu	fois	main	terre	temps	flûte	chien	bouche	face	maître	hommes	marche
8	don	corps	air	bois	moutier	argent	femme	côte	nom	cris	mer	yeux	chapelle	mme	sol	cœur	ami	jour	gare	travail	homme	heure	enfant	table	nuit	temps	côté	comtesse	voix	succès	m.	hommes	jour	cas	coup	temps	jour	armes	bras	théâtre
9	comte	coup	chevaux	fois	eau	cents	affaire	temps	monde	pays	programme	voix	temps	homme	eaux	jour	tu	choses	ami	femmes	chose	place	peur	femme	ciel	moment	coup	endroit	eau	art	porte	tête	enfants	cheval	gaz	château	temps	nuit	mort	vie
